日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1052	15	41.94	2.80
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	15	0	0.00	0.00
2014-08-21 12	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	121	10	46.49	4.65
2014-08-21 13	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	20	1	5.95	5.95
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	66	8	45.09	5.64
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	28	0	0.00	0.00
2014-08-21 13	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	66	1	6.48	6.48
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1338	33	94.63	2.87
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	19	2	7.66	3.83
2014-08-21 13	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	153	13	59.16	4.55
2014-08-21 14	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	15	1	6.07	6.07
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	80	7	42.23	6.03
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	52	4	23.57	5.89
2014-08-21 14	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	68	2	12.72	6.36
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1611	33	101.29	3.07
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	35	5	14.08	2.82
2014-08-21 14	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	201	21	98.72	4.70
2014-08-21 15	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	23	2	12.98	6.49
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	87	6	33.83	5.64
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	32	7	44.63	6.38
2014-08-21 15	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	65	2	13.10	6.55
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1740	45	138.11	3.07
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	36	1	4.47	4.47
2014-08-21 15	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	203	14	62.95	4.50
2014-08-21 16	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	23	1	1.16	1.16
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	98	10	43.78	4.38
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	44	5	31.27	6.25
2014-08-21 16	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	87	4	25.90	6.48
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	2125	59	181.12	3.07
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	27	5	16.29	3.26
2014-08-21 16	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	197	27	124.66	4.62
2014-08-21 17	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	24	1	6.06	6.06
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	65	6	38.46	6.41
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	31	3	17.45	5.82
2014-08-21 17	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	79	2	13.04	6.52
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1627	33	95.40	2.89
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	16	1	3.67	3.67
2014-08-21 17	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	150	16	79.70	4.98
2014-08-21 18	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	12	0	0.00	0.00
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	31	1	1.65	1.65
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	13	1	5.42	5.42
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	29	0	0.00	0.00
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1201	16	45.94	2.87
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	13	2	7.59	3.80
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	77	6	29.49	4.92
2014-08-21 19	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	10	2	12.21	6.10
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	27	2	12.50	6.25
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	25	5	28.72	5.74
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	32	2	7.84	3.92
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1143	27	69.21	2.56
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	16	1	2.44	2.44
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	94	11	53.36	4.85
