日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	22	5	13.62	2.72
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	18	4	9.51	2.38
2014-08-21 18	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	12	1	3.17	3.17
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	515	18	23.81	1.32
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	10	1	1.63	1.63
2014-08-21 18	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	45	3	4.67	1.56
2014-08-21 19	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	17	3	4.90	1.63
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	24	3	3.27	1.09
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	17	1	2.87	2.87
2014-08-21 19	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	9	1	3.34	3.34
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	589	15	21.33	1.42
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	6	1	1.33	1.33
2014-08-21 19	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	48	3	3.36	1.12
2014-08-21 20	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	21	6	12.24	2.04
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	22	3	5.77	1.92
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	6	1	2.69	2.69
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	15	3	9.67	3.22
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	667	9	9.71	1.08
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	8	0	0.00	0.00
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	46	7	16.43	2.35
2014-08-21 21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	15	3	7.78	2.59
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	22	3	6.24	2.08
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	12	0	0.00	0.00
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	9	1	2.62	2.62
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	101	2	2.88	1.44
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	11	1	2.65	2.65
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	68	3	6.23	2.08
2014-08-21 22	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	25	1	1.89	1.89
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	19	3	3.83	1.28
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	16	0	0.00	0.00
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	19	4	6.96	1.74
2014-08-21 22	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	49	2	3.04	1.52
2014-08-21 22	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	14	2	2.55	1.28
2014-08-21 23	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	7	2	1.08	0.54
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	9	1	1.98	1.98
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	19	2	4.23	2.12
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	25	4	9.67	2.42
2014-08-21 23	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	42	5	6.57	1.31
